Date,Area_in_Hectares,Production_in_Tons,Crop_Yield_tons_ha,Solar_Energy_Production_kWh,Temperature_C,Rainfall_mm,Soil_Moisture_Content,pH
5/1/2020,1.2339,14.4149,11.6828,57.96,1116.05,799.77,1791.87,240.2
12/1/2020,1.3191,15.4829,11.7372,80.76,1530.63,1135.34,2488.5099999999998,336.01
19/1/2020,1.3104,12.1326,9.2589,79.5,1529.92,1164.23,2548.19,328.65
26/1/2020,1.4634,13.8584,9.4699,76.06,1542.49,1178.69,2536.21,342.84
2/2/2020,1.503,13.2648,8.8253,79.03,1552.85,1117.85,2521.28,338.19
9/2/2020,1.3131,13.1801,10.0377,76.96,1570.94,1096.76,2501.2599999999998,335.26
16/2/2020,1.2609,15.4606,12.2616,76.57000000000001,1555.6,1131.93,2468.99,337.13
23/2/2020,1.3918,12.3386,8.8654,78.49,1551.94,1119.19,2516.83,331.94
1/3/2020,1.3927,15.1436,10.8736,83.78,1547.19,1111.39,2300.01,343.14
8/3/2020,1.2274,13.4417,10.9513,79.74,1534.26,792.77,834.66,363.08
15/3/2020,1.3449,12.7725,9.4967,80.77,1540.48,818.14,845.83,361.73
22/3/2020,1.4386,13.7377,9.5497,81.34,1597.09,826.14,845.44,364.31
29/3/2020,1.1361,14.5817,12.8349,80.1,1580.87,781.66,847.78,359.99
5/4/2020,0.4562,12.1597,26.6543,91.51,1539.5,572.9300000000001,732.68,310.65
12/4/2020,0.1525,11.7194,76.8552,117.74,1834.53,572.59,826.89,365.28
19/4/2020,0.7402,11.2474,15.1946,106.99,1840.01,499.48,848.49,364.06
26/4/2020,0.3008,11.7472,39.0471,114.98,1854.99,540.67,840.21,364
3/5/2020,0.4881,9.8355,20.1512,117.02,1889.06,635.19,826.06,363.88
10/5/2020,0.6145,11.8759,19.3276,117.55,1822.3,568.01,885.73,372.01
17/5/2020,0.4447,10.361,23.3007,115.42999999999999,1816.64,533.47,835.72,364.1
24/5/2020,0.6603,10.2527,15.5282,113.34,1853.82,545.77,836.1,364.03
31/5/2020,0.6993,9.3545,13.3773,115.13,1813.47,460.46999999999997,820.4,360.9
7/6/2020,0.0722,11.2462,155.778,111.39999999999999,1853.28,638.83,809.9399999999999,367.32
14/6/2020,0.4275,13.0674,30.567,113.85,1873.32,539.62,857.9,361.82
21/6/2020,0.7005,10.0208,14.3056,110.02,1842.6399999999999,582.94,820.6,363.19
28/6/2020,0.6962,10.9547,15.7346,119.46,1855.19,574.96,879.17,365.03
5/7/2020,0.457,10.6368,23.277,112.77,1856.49,562.25,859.24,363.42
12/7/2020,0.4686,9.3387,19.9271,119.05,1835.6299999999999,614.98,862.3199999999999,362.33
19/7/2020,0.6276,11.8066,18.8137,113.71,1830.69,558.6,798.09,368.35
26/7/2020,0.599,12.2688,20.4827,117.89,1849.31,499.53000000000003,844.72,363.03000000000003
2/8/2020,0.4023,10.7334,26.6799,111.71,1842.82,551.64,857.9,364.71
9/8/2020,0.3115,10.5852,33.9827,115.24,1859.34,666.48,853.2,363.31
16/8/2020,0.7849,11.8878,15.1446,117.58,1846.9,607.95,815.09,363.28
23/8/2020,0.3182,10.9909,34.5383,115.69,1825.5,655.93,848.66,364.66
30/8/2020,0.2813,12.702,45.1605,113.52,1859.3,578.04,838.96,365.72
6/9/2020,0.3204,11.0981,34.6362,115.84,1855.94,534.27,834.61,363.94
13/9/2020,0.243,10.4952,43.1976,119.77,1815.43,545.62,817.97,363.76
20/9/2020,0.1897,11.7625,62.0012,111.27,1878.61,607.52,819.56,365.92
27/9/2020,0.3297,11.2928,34.2494,116.16,1861.97,491.81,819.9,366.49
4/10/2020,0.4037,10.082,24.9744,119.87,1817.11,689.08,831.11,364.57
11/10/2020,0.2564,9.9619,38.8464,111.44,1773,795.32,842.57,364.89
18/10/2020,0.6887,10.8086,15.6936,110.77,1773.27,843.36,895.78,362.63
25/10/2020,0.1114,10.4568,93.849,114.06,1756.69,800.35,876.73,367.48
1/11/2020,1.4633,14.2287,9.7238,89.18,1492.28,788,913.25,307.36
8/11/2020,1.3644,13.667,10.0168,82.33,1550.48,1122.5,2464.34,335.23
15/11/2020,1.3964,13.6574,9.7802,70.07000000000001,1543.55,1088.15,2515.54,337.35
22/11/2020,1.4159,13.0448,9.2133,77.57,1557.3,1051.13,2531.15,330.02
29/11/2020,1.1763,16.5302,14.0522,84.77,1556.8700000000001,1098,2480.85,330.34
6/12/2020,1.2849,14.3246,11.1484,77.63,1548.69,1148.82,2515.82,333.46999999999997
13/12/2020,1.1875,12.7986,10.7775,80.99,1563.99,1097.39,2527.6,330.37
20/12/2020,1.1847,13.4596,11.3609,79.85,1542.98,1159.13,2488.63,338.52
27/12/2020,1.1946,15.8883,13.2998,77.66,1545.04,1192.27,2503.35,337.59
3/1/2021,1.3481,17.1798,12.7433,85.94,1564.31,1130,2547.45,341.17
10/1/2021,1.4702,16.105,10.9546,92.1,1531.39,1186.26,2541.15,335.78
17/1/2021,1.4523,11.6805,8.043,87.44,1524.12,1115.41,2529.96,333.89
24/1/2021,1.4919,18.8168,12.6129,89.77,1530.77,1136.83,2536.89,327.73
31/1/2021,1.3149,16.827,12.7972,90.13,1526.34,1166.69,2525.74,335.90999999999997
7/2/2021,1.365,14.5199,10.6374,90.53,1539.46,1107.22,2508.5,338.75
14/2/2021,1.3382,14.9277,11.1548,90.98,1526.22,1126.31,2532.39,335.04
21/2/2021,1.1802,15.5337,13.1615,84.86,1539.06,1066.7,2488.67,336.75
28/2/2021,1.2435,15.8285,12.7291,92.35,1571.06,1127.87,2515.3,328.16
7/3/2021,1.3143,15.8802,12.0822,89.25,1535.24,823.9,858.73,363.21
14/3/2021,1.4207,14.6513,10.313,91.6,1549.28,836.97,787.92,365
21/3/2021,1.1506,17.2809,15.0195,93.42,1632.35,820.75,785.66,362.65
28/3/2021,1.3687,15.2377,11.1331,92.75,1603.94,811.79,843.4,365.58
4/4/2021,0.5846,11.8469,20.2643,96.54,1492.83,515.92,708.59,311.26
11/4/2021,0.2955,13.5579,45.8762,133.67,1788.98,556.8,829.69,364.05
18/4/2021,0.416,11.2861,27.1324,128.87,1590.77,577.36,802.71,362.43
25/4/2021,0.5032,11.7598,23.3704,136.67,1817.01,538.02,858.58,361.96999999999997
2/5/2021,0.229,10.3162,45.0516,127.3,1854.92,539.57,850.17,369.31
9/5/2021,0.2062,11.4283,55.4329,126.81,1861.02,534.42,862.21,363.53
16/5/2021,0.3623,12.9703,35.7978,138.28,1855.73,527.98,827.84,362.1
23/5/2021,0.1076,12.6182,117.2386,133.49,1860.21,547.29,831.04,362.51
30/5/2021,0.282,10.8896,38.6149,127.55,1843.97,521.57,832.11,364.91
6/6/2021,0.2465,12.2153,49.5634,126.3,1820.17,569.46,831.32,363.58
13/6/2021,0.3449,10.2131,29.6137,129.85,1828.32,533.07,830.69,364.29
20/6/2021,0.3869,11.2688,29.1253,126.77,1889.05,632.95,803.01,367.52
27/6/2021,0.218,11.5843,53.1279,132.6,1836.17,598.37,839.04,365.17
4/7/2021,0.7602,10.9362,14.3862,124.83,1842.03,558.49,835.98,364.35
11/7/2021,0.1648,11.5831,70.2795,129.73,1890.67,558.96,834.15,363.83
18/7/2021,0.1213,10.8924,89.7786,130.3,1827.53,596.23,842.07,365.27
25/7/2021,0.1677,10.9882,65.5367,125.48,1879.5,562.16,826.92,362.56
1/8/2021,0.1849,12.57,67.9888,124.72,1862.93,621.71,844.35,361.37
8/8/2021,0.4506,12.6894,28.1594,126.55,1826.14,622.42,838.27,361.39
15/8/2021,0.7811,11.1871,14.3229,127.06,1854.86,565.59,861.35,363.81
22/8/2021,0.4569,10.6391,23.283,125.44,1878.82,582.12,859.53,365.03
29/8/2021,0.1776,12.093,68.0969,133.21,1840.83,589.2,851.18,363.91
5/9/2021,0.5386,12.7005,23.5826,124.33,1897.42,521.26,845.47,360.57
12/9/2021,0.5098,11.3849,22.3339,127.84,1830.13,537,840.61,363.58
19/9/2021,0.298,10.2575,34.4191,126.2,1852.19,567.91,824.07,364.65
26/9/2021,0.269,9.7811,36.3557,128.34,1829.8799999999999,493,815.99,368.13
3/10/2021,0.486,11.9634,24.6172,135.11,1816.68,671.42,843.63,366.12
10/10/2021,0.6776,10.4424,15.4118,129,1758.91,803.02,855.36,362.78
17/10/2021,0.7134,11.5457,16.1844,129.79,1769.8899999999999,834.76,834.24,361.4
24/10/2021,0.7829,12.9846,16.5845,125.72,1762.71,789.57,822.92,367.72
31/10/2021,0.7267,10.0442,13.822,105.32,1538.33,694.09,709.24,311.98
7/11/2021,1.1406,15.6443,13.7156,89.82,1533.73,1120.79,2548.13,336.07
14/11/2021,1.3932,14.5812,10.466,85.83,1493.74,1124.91,2552.82,331.82
21/11/2021,1.3347,18.0823,13.5481,88.33,1558.1399999999999,1120.43,2508.01,334.64
28/11/2021,1.4337,15.907,11.0948,89.16,1513.8,1056.96,2495.36,336.84
5/12/2021,1.5468,14.8123,9.5758,91.06,1533.09,1187.63,2498.91,336.06
12/12/2021,1.2543,15.6749,12.4968,94.02,1524.3899999999999,1186.05,2557.71,340.9
19/12/2021,1.3051,12.8769,9.8669,88.82000000000001,1534.68,1064.14,2508.88,335.54
26/12/2021,1.3763,10.7522,7.8121,89.57,1544.85,1124.63,2523.89,339.85
2/1/2022,1.3058,18.4775,14.1505,91.86,1534.8,1060.34,2536.04,336.94
9/1/2022,1.7891,15.5665,8.7007,102.5,1554.16,1137.13,2526.42,329.69
16/1/2022,1.5338,16.1859,10.5526,101.76,1541.27,1190.48,2504.12,335.86
23/1/2022,1.5683,16.2366,10.3528,95.22,1529.19,1163.99,2514.69,332.02
30/1/2022,1.3524,13.2163,9.7724,103.73,1545.18,1099.4,2512.14,337.68
6/2/2022,1.3698,17.7629,12.9679,101.54,1572.65,1125.91,2548.13,338.37
13/2/2022,1.6485,16.0925,9.7622,101.39,1542.09,1157.46,2557.84,333.05
20/2/2022,1.4753,15.5287,10.5257,99.41,1558.05,1109.96,2517.47,332.59
27/2/2022,1.2526,14.9614,11.9439,102.97,1564.84,1136.99,2445.29,335.81
6/3/2022,1.9359,16.5427,8.5452,100.78,1517.45,908.09,1147.46,361.91
13/3/2022,1.556,17.4772,11.2324,98.64,1603.86,847.39,792.84,363
20/3/2022,1.2925,16.0719,12.4345,101.89,1587.88,842.47,873.12,363.32
27/3/2022,1.4375,14.9952,10.4314,100.29,1602.24,808.75,841.14,360.92
3/4/2022,0.5207,12.3556,23.7267,99.97,1450.51,641.96,694.13,309.72
10/4/2022,0.5724,15.4046,26.9115,146.33,1860.93,511.56,817.28,363.96
17/4/2022,0.4999,12.6,25.2033,156.36,1868.24,558.46,863.29,358.32
24/4/2022,0.3461,11.998,34.6693,145.66,1820.35,589.74,846.9,368.2
1/5/2022,0.2844,14.7402,51.8354,152.4,1825.02,598.02,858.61,366.06
8/5/2022,0.3833,12.5017,32.6156,144.73,1901.82,545.98,819.69,361.56
15/5/2022,0.56,14.0838,25.1503,144.14,1860.95,570.57,824.18,363.17
22/5/2022,0.1256,14.8533,118.2673,138.61,1811.84,608.72,833.78,364.44
29/5/2022,0.3563,15.2028,42.6668,140.76,1832.98,569.98,820.4300000000001,364.55
5/6/2022,0.5542,10.5256,18.9917,143.59,1854.4,580.67,829.51,362.93
12/6/2022,0.3014,14.118,46.8407,144.17,1871.01,545.4300000000001,867.1,368.54
19/6/2022,0.5617,14.9331,26.5878,143.79,1836.14,650.55,831.11,365.27
26/6/2022,0.6223,14.7174,23.6495,138.59,1856.31,538.45,823.1,361.04
3/7/2022,0.7193,11.2371,15.6215,151.66,1855.2,506.57,854.86,365.37
10/7/2022,0.2273,15.0868,66.3674,148.72,1877.84,588.39,843.53,364.15
17/7/2022,0.1541,13.472,87.4246,141.5,1824.66,577.0699999999999,787.68,364.09
24/7/2022,0.2358,10.6363,45.1026,141.23,1861.1299999999999,569.73,839.59,363.8
31/7/2022,0.1982,13.9837,70.5381,141,1874.75,570.5,801.47,366.63
7/8/2022,0.0795,13.7016,172.2572,140.85,1865.54,533.03,842.08,365.87
14/8/2022,0.372,13.5394,36.3973,144.37,1833.09,622.91,852.0699999999999,365.56
21/8/2022,0.6953,11.1187,15.991,143.33,1844.17,537.48,907.82,363.47
28/8/2022,0.1946,12.9124,66.343,144.62,1831.28,568.42,871.8,363.95
4/9/2022,0.4093,12.2587,29.9469,150.3,1868.06,529.03,870.02,361.45
11/9/2022,0.1218,13.7168,112.6133,142.4,1836.67,598.99,846.88,362.79
18/9/2022,0.1612,16.1137,99.9697,149.24,1853.02,428.13,827.94,363.03
25/9/2022,0.6855,13.2211,19.2858,147.06,1845.98,545.11,787.72,365.05
2/10/2022,0.4258,15.9204,37.3852,146,1830.57,612.27,844.49,362.95
9/10/2022,0.5785,15.6232,27.0074,143.62,1803.55,862.49,854.51,365.21
16/10/2022,0.126,12.9792,102.9894,138.09,1773.81,819.61,834.65,367.06
23/10/2022,0.1217,12.8004,105.1637,136.6,1771.38,840.36,864.94,367.08
30/10/2022,0.4491,11.0831,24.6774,146.09,1750.23,779.7,852.18,361.23
6/11/2022,1.518,17.2785,11.3825,86.14,1313.69,943.92,2121.67,284.67
13/11/2022,1.3952,15.6883,11.2448,100.45,1523.33,1095.76,2485.98,331.27
20/11/2022,1.478,17.497,11.838,96.47,1519.35,1055.28,2518.93,337.54
27/11/2022,1.2915,14.4421,11.182,101.04,1580.17,1076.3,2498.66,331.54
4/12/2022,1.3731,17.9646,13.0829,98.63,1543.18,1093.26,2535.45,337.21999999999997
11/12/2022,1.4701,15.7936,10.7432,95.11,1548.53,1106.69,2515.01,334.32
18/12/2022,1.4983,15.3315,10.2325,97.81,1546.25,1107,2521.99,342.35
25/12/2022,1.651,15.3296,9.285,105.09,1551.89,1153,2527.29,340.71999999999997
